%time SOC Ptotal Psensor1 Psensor2 Pmcu Prf Ppv Ipv
3040 0.758168211214 0.6285 2 0.01 0.01 0.01 1.4 0.4
3050 0.757965704787 -1.2715 0.1 0.01 0.01 0.01 1.4 0.4
3060 0.758107911518 -1.2715 0.1 0.01 0.01 0.01 1.4 0.4
3070 0.758288393039 -1.2715 0.1 0.01 0.01 0.01 1.4 0.4
3080 0.758468849362 -1.2715 0.1 0.01 0.01 0.01 1.4 0.4
3090 0.758649280495 -1.2715 0.1 0.01 0.01 0.01 1.4 0.4
3100 0.758829686446 1.3125 2 0.15 0.3 0.3 1.8 0.4
3110 0.758638775598 0.2285 2 0.01 0.01 0.01 1.8 0.514285714286
3120 0.758516858308 0.2285 2 0.01 0.01 0.01 1.8 0.514285714286
3130 0.758394952341 0.2285 2 0.01 0.01 0.01 1.8 0.514285714286
3140 0.758273057696 0.2285 2 0.01 0.01 0.01 1.8 0.514285714286
3150 0.758151174373 -1.6715 0.1 0.01 0.01 0.01 1.8 0.514285714286
3160 0.758373977147 -1.6715 0.1 0.01 0.01 0.01 1.8 0.514285714286
3170 0.758635037689 -1.6715 0.1 0.01 0.01 0.01 1.8 0.514285714286
3180 0.758896058545 -1.6715 0.1 0.01 0.01 0.01 1.8 0.514285714286
3190 0.759157039734 -1.6715 0.1 0.01 0.01 0.01 1.8 0.514285714286
3200 0.759417981272 0.9125 2 0.15 0.3 0.3 0.8 0.514285714286
3210 0.759081898241 1.2285 2 0.01 0.01 0.01 0.8 0.228571428571
3220 0.758758380573 1.2285 2 0.01 0.01 0.01 0.8 0.228571428571
3230 0.758434882889 1.2285 2 0.01 0.01 0.01 0.8 0.228571428571
3240 0.758111405174 1.2285 2 0.01 0.01 0.01 0.8 0.228571428571
3250 0.757787947415 -0.6715 0.1 0.01 0.01 0.01 0.8 0.228571428571
3260 0.757809234291 -0.6715 0.1 0.01 0.01 0.01 0.8 0.228571428571
3270 0.757868817144 -0.6715 0.1 0.01 0.01 0.01 0.8 0.228571428571
3280 0.757928392792 -0.6715 0.1 0.01 0.01 0.01 0.8 0.228571428571
3290 0.757987961234 -0.6715 0.1 0.01 0.01 0.01 0.8 0.228571428571
3300 0.758047522472 1.9125 2 0.15 0.3 0.3 0.6 0.228571428571
3310 0.757638948232 1.4285 2 0.01 0.01 0.01 0.6 0.171428571429
3320 0.757275196523 1.4285 2 0.01 0.01 0.01 0.6 0.171428571429
3330 0.75691146494 1.4285 2 0.01 0.01 0.01 0.6 0.171428571429
3340 0.756547753464 1.4285 2 0.01 0.01 0.01 0.6 0.171428571429
3350 0.756184062072 -0.4715 0.1 0.01 0.01 0.01 0.6 0.171428571429
3360 0.75616520743 -0.4715 0.1 0.01 0.01 0.01 0.6 0.171428571429
3370 0.756184663991 -0.4715 0.1 0.01 0.01 0.01 0.6 0.171428571429
3380 0.756204118318 -0.4715 0.1 0.01 0.01 0.01 0.6 0.171428571429
3390 0.756223570412 -0.4715 0.1 0.01 0.01 0.01 0.6 0.171428571429
3400 0.756243020273 2.1125 2 0.15 0.3 0.3 1 0.171428571429
3410 0.755891000776 1.0285 2 0.01 0.01 0.01 1 0.285714285714
